timestamp,aX,aY,aZ,gX,gY,gZ
7201,687,1.663,-118,2.014,-115.662,-30.457
7209,641,1.732,-92,5.432,-111.694,-34.424
7218,588,1.798,-79,9.644,-107.910,-38.940
7226,531,1.841,-64,15.930,-105.103,-45.715
7235,489,1.839,-31,24.963,-103.210,-54.688
7243,449,1.801,23,34.485,-101.746,-65.002
7252,425,1.750,83,42.358,-99.121,-74.829
7260,416,1.683,134,48.523,-95.276,-84.473
7269,388,1.607,179,53.528,-90.454,-94.299
7277,358,1.515,226,57.739,-84.900,-103.210
7286,331,1.410,254,61.279,-78.308,-110.840
7294,295,1.301,274,63.782,-70.618,-117.188
7302,261,1.199,290,66.528,-62.195,-121.033
7311,227,1.113,297,68.848,-53.162,-121.887
7319,206,1.043,297,70.984,-43.335,-120.178
7328,177,990,305,73.303,-33.569,-116.882
7336,162,959,329,75.562,-24.658,-113.037
7345,150,928,354,77.271,-14.954,-109.253
7353,131,902,376,77.393,-4.639,-105.957
7362,101,900,380,76.416,6.897,-103.699
7370,64,928,351,74.524,19.897,-103.210
7379,34,932,294,73.181,32.104,-106.262
7387,19,895,241,70.740,42.053,-112.976
7396,8,831,208,67.749,48.645,-121.460
7404,3,748,204,66.467,52.368,-128.967
7413,0,671,212,67.749,54.932,-133.423
7421,14,600,228,70.679,58.777,-134.521
7429,26,552,254,75.562,63.782,-132.568
7438,2,533,272,80.566,71.655,-127.563
7446,-21,509,263,85.510,82.947,-120.239
7455,-30,473,236,90.088,94.910,-113.464
7464,-39,419,195,91.858,107.239,-109.009
7472,-30,366,154,90.088,119.141,-107.971
7480,-37,264,80,85.693,129.028,-109.314
7489,-21,193,31,79.834,135.132,-109.680
7497,2,162,-18,74.524,138.916,-109.558
7506,19,130,-52,71.411,139.038,-110.352
7514,-10,80,-57,71.472,137.024,-111.938
7523,-8,23,-40,75.012,134.521,-114.685
7531,-38,-82,-10,80.383,134.644,-117.249
7539,-56,-174,36,85.571,132.019,-119.324
7548,1,-296,52,86.121,134.766,-118.164
7556,-4,-429,26,79.834,148.804,-107.849
7565,-19,-537,-24,70.679,166.687,-93.628
7573,36,-578,-114,58.777,186.829,-79.407
7582,116,-568,-257,48.279,200.806,-63.416
7590,187,-527,-410,41.931,206.482,-49.133
7599,209,-466,-516,39.917,205.383,-38.208
7607,246,-416,-566,44.678,197.510,-32.349
7616,270,-395,-580,56.641,182.251,-28.564
7624,292,-432,-606,72.693,165.527,-24.841
7633,361,-538,-646,85.815,152.893,-21.423
7641,394,-680,-725,90.210,146.912,-14.771
7650,482,-756,-839,84.229,145.874,-4.456
7658,563,-750,-934,72.632,142.761,9.766
7667,600,-672,-981,61.279,133.240,26.184
7675,603,-552,-991,52.979,121.094,39.307
7683,544,-455,-965,51.025,107.788,48.828
7692,499,-408,-948,53.101,96.252,53.833
7700,521,-433,-1.019,52.307,93.201,53.833
7709,612,-447,-1.186,41.504,100.586,53.162
7718,712,-444,-1.342,26.367,105.286,53.528
7726,802,-424,-1.493,14.709,101.807,58.044
7734,859,-342,-1.566,10.071,88.684,68.176
7743,878,-178,-1.503,11.902,67.871,79.468
7751,818,-22,-1.348,25.146,43.518,88.928
7760,730,100,-1.152,37.354,24.536,93.445
7768,642,166,-982,47.607,13.611,93.323
7777,555,157,-817,53.772,5.981,91.064
7785,472,109,-671,50.842,1.709,88.196
7794,405,84,-583,37.903,4.456,87.097
7802,364,96,-583,17.029,16.113,87.402
7811,337,159,-703,-7.935,33.936,87.341
7819,349,267,-929,-30.212,52.368,87.463
7828,418,347,-1.132,-40.649,63.171,87.646
7836,471,367,-1.291,-37.842,61.890,87.524
7845,504,356,-1.363,-26.245,47.180,87.280
7853,523,307,-1.314,-11.475,25.146,87.708
7861,504,232,-1.197,-305,3.967,88.623
7870,498,200,-1.069,2.625,-8.728,91.248
7878,484,206,-1.000,-1.404,-11.108,95.825
7887,505,258,-1.044,-8.789,-6.348,102.112
7895,503,321,-1.157,-15.198,1.648,109.863
7903,538,412,-1.281,-17.212,5.493,116.699
7912,570,497,-1.392,-14.893,3.052,123.779
7921,597,561,-1.433,-8.484,-7.568,127.808
7929,613,577,-1.417,-2.258,-22.095,127.441
7938,611,541,-1.353,2.014,-39.856,123.596
7946,604,472,-1.260,1.953,-56.824,119.080
7954,600,418,-1.161,-3.662,-68.848,115.662
7963,616,425,-1.090,-12.024,-75.012,115.662
7971,614,500,-1.064,-18.250,-76.843,119.812
7980,603,593,-1.050,-19.165,-77.576,125.671
