timestamp,aX,aY,aZ,gX,gY,gZ
7246,468,299,-1.390,45.532,90.698,-2.197
7254,508,249,-1.390,47.913,61.707,-6.104
7262,524,204,-1.354,44.922,32.532,-9.338
7271,538,161,-1.291,35.645,7.202,-11.841
7279,562,140,-1.226,21.851,-14.038,-13.489
7288,578,143,-1.163,7.080,-32.166,-13.428
7296,601,153,-1.080,-6.165,-49.438,-12.268
7305,611,152,-976,-16.357,-67.505,-10.986
7313,605,153,-860,-23.926,-84.778,-9.644
7322,614,165,-735,-30.273,-99.182,-7.874
7330,639,188,-606,-34.424,-111.816,-6.409
7338,656,209,-484,-35.889,-123.108,-5.981
7347,670,238,-355,-34.485,-133.728,-6.897
7355,682,277,-227,-30.396,-144.287,-8.667
7364,680,310,-118,-23.560,-153.137,-11.353
7373,655,318,-28,-15.015,-160.034,-15.564
7381,624,280,44,-6.287,-164.246,-20.691
7389,577,208,100,732,-167.236,-26.306
7398,522,135,153,4.395,-169.006,-30.212
7406,508,79,186,4.456,-167.053,-30.212
7415,516,41,199,1.953,-162.598,-27.222
7423,537,39,224,-2.136,-161.987,-23.743
7432,553,72,257,-8.179,-165.039,-20.264
7440,572,148,296,-15.442,-167.969,-18.250
7449,598,245,364,-20.752,-173.828,-20.569
7457,590,266,456,-21.790,-182.617,-27.710
7466,529,214,604,-20.935,-196.655,-38.330
7474,455,145,777,-21.484,-206.970,-48.828
7482,356,57,918,-23.987,-208.313,-54.871
7491,274,-12,993,-27.039,-199.219,-53.467
7499,277,-34,1.011,-28.687,-181.641,-45.349
7508,326,30,1.000,-27.588,-162.476,-32.837
7516,406,160,972,-22.095,-148.010,-20.752
7525,480,221,916,-14.832,-140.381,-16.052
7533,535,262,865,-9.644,-140.991,-20.874
7542,571,220,874,-8.545,-148.682,-32.410
7550,504,74,1.002,-12.390,-163.330,-47.119
7558,369,-72,1.203,-23.804,-180.420,-59.998
7567,199,-156,1.385,-41.870,-186.340,-63.171
7576,119,-148,1.484,-60.242,-169.189,-54.260
7584,168,-54,1.483,-70.679,-135.803,-39.429
7593,269,44,1.417,-67.139,-104.492,-23.499
7601,338,143,1.330,-50.903,-85.754,-9.949
7609,379,189,1.246,-26.978,-79.346,-1.892
7618,396,189,1.192,-3.967,-80.811,732
7627,374,152,1.175,11.353,-86.670,-2.563
7635,391,38,1.163,13.611,-89.050,-11.108
7643,389,-59,1.151,2.258,-85.327,-20.935
7652,349,-105,1.176,-15.320,-83.313,-25.818
7660,307,-123,1.211,-32.959,-82.214,-24.902
7669,289,-80,1.193,-48.706,-75.195,-18.555
7677,300,3,1.134,-60.303,-63.477,-10.559
7686,358,122,1.060,-65.674,-52.307,-5.249
7694,404,252,998,-60.974,-48.340,-3.784
7703,434,316,991,-45.166,-52.612,-5.432
7711,403,282,1.054,-24.048,-65.796,-10.071
7720,314,190,1.180,-6.653,-80.627,-16.479
7728,225,83,1.280,2.197,-85.205,-20.325
7737,157,-3,1.336,1.892,-77.759,-19.531
7745,128,-48,1.328,-4.822,-60.547,-13.977
7753,156,-39,1.264,-14.526,-38.269,-5.554
7762,207,4,1.155,-23.315,-16.968,2.258
7770,255,48,1.043,-29.602,-1.892,8.667
7779,297,89,945,-33.325,4.944,12.573
7787,342,155,874,-34.302,6.165,14.282
7796,380,219,825,-31.494,2.380,13.062
7804,395,247,828,-25.452,-7.751,8.240
7813,364,238,896,-17.822,-22.583,1.892
7821,302,216,1.003,-11.597,-35.706,-3.296
7830,240,179,1.090,-7.385,-40.833,-6.348
7838,189,144,1.129,-5.127,-37.659,-6.775
7847,178,119,1.130,-4.944,-29.114,-4.272
7855,200,116,1.086,-6.714,-17.883,-183
7864,226,126,1.021,-9.766,-9.094,3.723
7872,252,142,963,-12.878,-3.906,6.287
7880,275,165,914,-15.381,-2.319,7.141
7889,302,205,882,-16.846,-2.625,6.714
7898,326,238,863,-16.541,-5.188,4.700
7906,320,251,868,-14.038,-10.620,854
7914,302,240,907,-10.071,-18.127,-2.502
7923,249,209,961,-5.798,-24.414,-4.700
7931,223,177,1.001,-3.540,-24.170,-5.554
7940,199,151,1.004,-4.211,-20.447,-4.822
7948,198,143,985,-6.287,-14.465,-3.174
7957,216,151,944,-8.789,-8.545,-732
7965,230,170,902,-9.766,-5.005,1.831
7974,242,200,886,-9.460,-4.028,3.052
7982,203,348,1.048,-4.761,-2.625,2.869
,,,,,,
8930,-380,549,2.966,-22.766,-72.449,-50.293
8939,-601,459,3.067,15.442,-21.057,-40.588
8947,-498,384,3.001,58.228,45.532,-18.005
8956,-296,253,2.854,87.463,105.286,671
8964,-280,63,2.761,93.384,135.986,7.690
8973,-291,-56,2.672,82.336,159.363,9.216
8981,-291,-62,2.555,66.284,189.819,12.878
8990,-308,-36,2.423,54.688,215.759,18.555
8998,-299,-51,2.274,48.950,240.601,24.597
9006,-365,-86,2.137,45.227,261.169,30.029
9015,-450,-82,1.973,41.748,281.494,36.621
9024,-500,-17,1.722,38.330,310.364,46.387
9032,-583,63,1.393,34.607,341.675,54.871
9041,-436,143,1.032,31.128,379.883,59.082
9049,-337,239,661,28.625,401.855,58.960
9057,-245,263,379,28.320,401.489,54.016
9066,-170,282,176,29.419,389.404,47.058
9074,-190,279,22,31.494,367.249,39.734
9083,-185,265,-125,33.875,348.450,32.776
9091,-180,321,-288,38.757,334.106,29.968
9100,-126,366,-429,46.082,316.956,29.602
9108,-28,368,-541,50.415,297.058,26.794
9117,4,354,-666,52.185,276.062,20.447
9125,26,341,-773,56.702,250.977,14.709
9134,48,301,-890,65.796,225.647,11.353
9142,71,228,-1.021,75.378,205.750,8.179
9151,74,169,-1.204,82.214,190.674,7.568
9159,129,148,-1.427,82.092,180.664,9.888
9167,253,151,-1.655,75.623,173.889,13.245
9176,350,163,-1.851,66.040,160.156,15.381
9184,439,177,-1.982,55.359,137.390,16.357
9193,533,174,-2.036,43.335,109.314,16.541
9201,601,175,-2.013,30.212,75.745,15.686
9210,650,194,-1.887,17.090,37.537,14.832
9218,691,216,-1.689,3.967,-671,12.878
9227,688,229,-1.460,-9.583,-37.170,9.399
9235,666,228,-1.207,-21.790,-69.885,4.089
9244,661,235,-970,-32.471,-95.764,-1.404
9252,669,262,-748,-39.429,-116.577,-5.310
9261,671,270,-532,-40.222,-135.010,-9.705
9269,646,244,-332,-35.645,-150.146,-14.832
9278,620,223,-150,-28.137,-160.217,-18.921
9286,597,209,-17,-18.799,-164.673,-20.996
9294,583,188,68,-8.606,-164.185,-21.606
9303,586,136,137,977,-161.499,-21.729
9311,573,48,214,6.836,-160.095,-21.973
9320,553,-36,303,6.653,-159.058,-22.095
9328,524,-99,365,732,-155.029,-20.447
9337,512,-143,411,-9.583,-147.339,-16.541
9345,546,-121,438,-22.583,-136.414,-10.925
9354,630,-45,448,-35.339,-128.418,-5.737
9363,650,33,477,-44.495,-132.690,-3.296
9371,672,104,519,-48.828,-136.292,-2.258
9379,673,173,544,-48.767,-139.893,-3.479
9388,653,189,600,-42.175,-145.203,-6.104
9396,603,137,693,-31.555,-151.367,-9.155
9405,549,41,789,-22.949,-154.053,-11.047
9413,481,-53,849,-21.301,-149.780,-10.071
9421,464,-97,849,-27.161,-137.817,-5.676
9430,477,-80,833,-38.147,-124.329,732
9438,536,4,805,-48.157,-110.474,7.446
9447,614,129,778,-54.321,-100.952,10.681
9455,682,250,756,-54.138,-98.022,8.911
9464,693,349,744,-44.983,-103.577,3.540
9472,682,409,763,-26.978,-115.051,-3.296
9481,663,398,800,-5.371,-130.371,-11.108
9489,630,301,855,12.085,-146.729,-19.043
9498,535,126,976,19.165,-160.706,-28.625
9506,458,-53,1.126,13.733,-168.091,-37.903
9515,306,-156,1.234,-1.770,-166.138,-39.490
9523,207,-157,1.261,-20.630,-146.057,-29.358
9531,268,-46,1.208,-36.499,-112.549,-12.695
9540,434,118,1.123,-42.542,-80.383,1.404
9549,518,246,1.083,-36.194,-66.162,7.996
9557,507,344,1.076,-20.874,-66.345,6.714
9566,523,355,1.043,-3.113,-72.144,-122
9574,518,272,1.014,11.780,-81.726,-10.132
9583,491,183,1.001,21.973,-91.492,-20.569
9591,451,101,990,26.672,-97.656,-26.550
9599,432,7,1.003,24.658,-100.586,-28.809
9608,395,-86,1.052,14.709,-100.525,-29.114
9616,344,-109,1.095,-2.014,-98.328,-27.466
9625,322,-60,1.117,-18.555,-90.393,-21.729
9633,315,31,1.108,-29.419,-79.407,-14.526
9642,343,104,1.075,-31.006,-69.824,-9.766
9650,348,131,1.050,-24.048,-65.857,-7.141
9659,340,140,1.025,-14.038,-64.514,-5.981
9667,350,145,998,-5.554,-63.171,-6.042
9675,380,132,996,-1.770,-62.622,-7.629
9684,369,91,1.065,-3.418,-65.613,-11.536
9692,318,55,1.175,-10.132,-70.557,-16.846
9701,263,58,1.270,-18.250,-69.214,-19.897
9709,218,62,1.310,-24.109,-59.509,-19.287
9718,205,64,1.291,-25.391,-45.349,-15.747
9726,230,59,1.221,-22.644,-30.334,-10.620
9735,270,53,1.127,-19.165,-17.639,-5.127
9743,304,40,1.041,-17.395,-10.132,-1.038
9752,333,49,972,-18.494,-7.019,1.770
9760,351,88,916,-19.958,-6.592,3.540
9769,373,134,879,-19.592,-8.301,4.089
9777,393,179,861,-16.724,-13.123,2.991
9786,384,203,885,-12.146,-20.874,-671
9794,342,180,945,-6.958,-29.663,-5.737
9803,291,131,1.001,-2.380,-34.241,-9.949
9811,252,81,1.033,610,-33.142,-10.864
9820,236,48,1.042,2.075,-28.564,-8.728
9828,241,36,1.008,977,-21.301,-4.700
9837,263,53,954,-2.319,-14.099,-732
9845,302,87,891,-6.409,-9.277,2.686
9853,308,125,832,-10.498,-8.057,4.639
9862,329,176,799,-15.015,-9.277,3.296
9870,357,216,807,-17.456,-13.245,-854
9879,338,210,861,-16.052,-21.301,-6.348
9887,297,180,932,-11.658,-29.785,-11.353
9896,235,138,988,-6.165,-35.583,-13.977
9904,196,103,1.015,-1.160,-35.706,-13.184
9913,173,65,1.023,2.014,-31.494,-10.559
9921,159,45,1.002,2.075,-24.536,-7.080
