# Inicio de la captura de datos
-0.586,-1.187,1.391,37.842,-84.778,-1.465
-0.603,-1.447,1.655,55.664,-119.751,16.296
-0.665,-1.752,1.906,67.322,-137.878,33.142
-0.763,-2.140,2.184,59.204,-134.094,40.405
-0.974,-2.582,2.484,28.442,-103.210,39.795
-1.260,-2.974,2.756,-17.456,-46.143,39.124
-1.642,-3.316,2.914,-68.787,24.231,46.570
-2.031,-3.504,2.975,-108.582,95.398,68.359
-2.348,-3.434,2.581,-114.624,158.447,108.337
-2.286,-3.573,2.307,-82.642,222.229,169.495
-2.297,-3.415,1.844,-39.795,250.061,232.971
-2.485,-3.117,1.417,0.854,245.605,294.800
-2.660,-2.878,1.141,24.109,229.980,359.619
-2.830,-2.458,0.779,16.602,210.388,429.810
-3.176,-1.562,0.354,11.597,193.298,504.639
-3.520,0.173,0.027,27.649,161.377,570.435
-3.275,1.854,-0.108,33.142,115.906,606.567
-3.328,3.353,-0.421,20.386,80.688,589.661
-3.466,4.000,-1.014,16.357,73.486,532.776
-2.903,4.000,-2.141,56.091,57.678,482.849
-1.839,4.000,-2.385,131.104,-23.926,449.341
-1.251,4.000,-1.815,134.216,-123.474,410.767
-0.632,4.000,-1.178,28.870,-139.832,382.751
0.288,4.000,-0.748,-87.463,-102.661,360.779
1.321,4.000,-0.393,-134.705,-68.359,308.167
1.586,4.000,-0.293,-124.084,-45.837,206.909
1.565,4.000,-0.388,-90.149,-8.850,77.271
1.185,3.677,-0.637,-58.655,25.146,-32.776
0.616,3.077,-0.599,-46.204,25.085,-110.718
0.041,2.708,-0.396,-33.569,-4.333,-155.640
-0.495,2.420,0.087,-14.282,-38.574,-179.810
-0.842,2.157,0.684,-5.310,-65.796,-187.927
-1.083,1.950,1.227,-4.761,-81.116,-183.105
-1.201,1.854,1.600,1.770,-72.876,-170.227
-1.152,2.005,1.791,20.813,-57.556,-155.029
-1.089,2.032,1.790,53.589,-56.824,-149.902
-1.210,1.947,1.680,81.482,-63.721,-161.621
-1.229,1.762,1.611,92.407,-43.640,-175.476
-1.256,1.361,1.486,80.505,-27.588,-185.730
-1.280,1.017,1.354,61.035,-12.756,-199.341
-1.273,0.708,1.215,47.058,2.014,-211.304
-1.203,0.370,1.105,39.917,20.386,-216.675
-1.060,0.093,1.021,35.278,35.950,-216.858
-0.904,-0.070,0.975,35.400,43.030,-214.294
