# Inicio de la captura de datos
0.359,0.645,-1.665,8.911,31.921,26.917
0.371,0.675,-1.740,10.864,13.428,17.395
0.397,0.700,-1.780,12.512,-7.446,6.653
0.430,0.718,-1.725,14.771,-29.968,-1.709
0.451,0.739,-1.648,17.639,-51.758,-5.981
0.486,0.734,-1.521,22.461,-73.669,-10.132
0.491,0.700,-1.317,28.503,-94.849,-14.160
0.480,0.687,-1.086,33.569,-111.206,-19.897
0.477,0.656,-0.901,37.415,-121.948,-28.381
0.464,0.605,-0.797,39.185,-129.822,-37.598
0.454,0.548,-0.731,36.377,-136.841,-44.739
0.425,0.472,-0.646,30.334,-145.508,-50.842
0.397,0.383,-0.536,25.269,-154.785,-56.396
0.356,0.335,-0.462,22.217,-162.598,-61.646
0.302,0.272,-0.425,22.766,-170.898,-66.650
0.272,0.176,-0.420,24.719,-178.772,-69.641
0.222,0.083,-0.405,23.254,-190.369,-69.763
0.161,0.063,-0.315,16.418,-206.421,-69.275
0.130,-0.026,-0.238,10.193,-224.548,-69.580
0.142,-0.201,-0.040,6.714,-246.887,-67.505
0.131,-0.307,0.524,3.723,-273.804,-62.622
0.114,-0.177,1.123,7.812,-289.185,-58.777
0.124,-0.121,1.409,28.870,-279.358,-61.584
0.145,-0.171,1.434,52.795,-259.644,-69.214
0.169,-0.227,1.447,67.322,-240.479,-74.829
0.191,-0.166,1.359,63.538,-224.426,-77.759
0.165,-0.215,1.109,41.138,-208.191,-70.801
0.141,-0.286,0.889,2.625,-190.491,-51.819
0.150,-0.255,0.877,-42.053,-184.631,-33.936
0.178,-0.180,0.954,-70.923,-185.486,-23.987
0.170,-0.116,0.998,-67.383,-183.716,-19.897
0.128,-0.190,1.107,-32.654,-185.730,-22.034
0.143,-0.181,1.316,11.108,-192.749,-29.480
0.138,-0.134,1.452,48.767,-185.669,-38.208
0.147,-0.078,1.433,64.331,-166.931,-42.725
0.126,-0.138,1.297,54.138,-147.095,-40.710
0.123,-0.157,1.208,25.635,-133.606,-33.386
0.100,-0.276,1.131,-3.357,-126.953,-27.222
0.105,-0.379,1.192,-24.231,-126.831,-20.630
0.111,-0.402,1.336,-33.813,-128.906,-12.756
0.161,-0.415,1.486,-27.954,-129.272,-9.460
0.213,-0.368,1.580,-8.972,-126.831,-10.132
0.225,-0.314,1.679,19.409,-122.620,-14.893
0.243,-0.232,1.841,47.974,-115.906,-24.719
0.299,-0.275,1.835,67.810,-106.567,-34.302
0.259,-0.347,1.724,64.148,-95.947,-33.264
0.255,-0.374,1.627,34.424,-82.397,-23.865
0.270,-0.405,1.514,1.526,-65.430,-13.428
0.254,-0.458,1.378,-17.456,-53.955,-4.456
0.234,-0.441,1.271,-25.330,-50.598,3.235
0.223,-0.422,1.182,-26.306,-48.096,7.629
0.214,-0.401,1.132,-24.048,-44.861,10.376
0.201,-0.333,1.098,-19.409,-43.091,13.855
0.199,-0.287,1.065,-11.658,-42.603,15.991
0.224,-0.154,1.083,-5.554,-42.175,18.372
0.236,0.002,1.172,-0.671,-43.335,19.104
0.255,0.102,1.254,2.014,-43.457,16.357
0.280,0.147,1.289,1.465,-39.612,12.451
0.240,0.153,1.250,-0.244,-35.156,8.118
0.212,0.107,1.159,1.831,-33.142,2.441
0.191,0.058,1.056,9.521,-33.020,-3.052
0.151,0.013,0.945,18.005,-34.363,-7.141
0.113,-0.027,0.853,21.973,-36.438,-9.583
0.102,-0.066,0.800,20.386,-39.124,-10.254
0.097,-0.047,0.797,15.381,-41.382,-7.812
0.093,-0.010,0.816,11.841,-44.983,-4.883
0.100,0.006,0.862,9.216,-49.500,-3.479
0.111,0.073,0.930,2.869,-51.697,-2.563
0.108,0.118,0.974,-5.737,-50.598,-2.319
0.119,0.101,1.007,-13.367,-47.302,-2.747
0.141,0.089,1.079,-18.066,-45.166,-3.418
0.137,0.091,1.134,-15.869,-43.213,-4.639
0.126,0.048,1.155,-6.958,-40.771,-7.690
0.138,0.017,1.184,0.427,-40.161,-11.780
0.172,0.038,1.263,1.404,-40.649,-13.550
0.181,0.044,1.338,-1.526,-38.574,-12.512
0.187,0.021,1.403,-6.226,-33.875,-11.230
0.205,0.007,1.484,-9.705,-27.954,-10.559
0.216,-0.033,1.540,-9.644,-21.057,-11.292
0.225,-0.068,1.567,-5.432,-13.062,-11.841
0.223,-0.083,1.546,2.014,-5.737,-12.390
0.216,-0.125,1.496,10.071,0.671,-14.404
0.210,-0.141,1.467,14.709,5.920,-14.771
0.204,-0.148,1.423,16.907,10.559,-13.000
0.183,-0.151,1.370,18.066,15.808,-10.498
0.170,-0.145,1.325,16.724,20.508,-8.118
0.166,-0.173,1.308,12.939,24.658,-5.798
0.179,-0.183,1.333,7.080,28.259,-2.686
0.177,-0.153,1.359,3.174,32.410,1.099
0.194,-0.129,1.377,2.808,37.170,3.845
0.214,-0.113,1.409,3.418,41.443,4.272
0.229,-0.122,1.454,4.639,46.265,3.235
0.247,-0.125,1.518,6.470,52.124,2.197
0.253,-0.165,1.556,9.888,59.448,1.038
0.266,-0.192,1.590,12.024,65.552,0.305
0.272,-0.248,1.638,12.878,71.838,0.610
0.266,-0.301,1.717,13.062,78.186,2.197
0.278,-0.318,1.844,13.489,85.754,5.066
0.292,-0.268,1.968,16.357,96.069,7.385
0.289,-0.232,1.998,25.391,109.619,7.080
0.259,-0.259,1.921,34.119,123.169,5.127
0.221,-0.280,1.818,36.499,137.085,3.967
0.223,-0.281,1.701,35.645,150.452,5.920
0.214,-0.259,1.604,34.119,159.058,10.010
0.215,-0.239,1.504,30.396,163.147,13.306
0.215,-0.220,1.412,23.499,167.114,17.334
0.207,-0.211,1.380,13.977,171.875,21.912
0.221,-0.222,1.434,6.653,176.331,23.987
0.242,-0.242,1.514,6.592,181.946,23.682
0.254,-0.233,1.604,13.184,188.416,22.156
0.261,-0.221,1.626,22.583,195.251,18.616
0.249,-0.258,1.571,33.813,201.843,14.343
0.224,-0.284,1.495,41.687,208.008,11.353
0.220,-0.301,1.397,45.593,211.731,9.583
0.218,-0.341,1.297,45.105,213.196,12.329
0.202,-0.331,1.201,39.063,214.417,19.165
0.193,-0.309,1.122,28.381,215.576,28.198
0.190,-0.335,1.027,17.517,217.346,37.231
0.176,-0.372,1.004,8.057,217.651,43.518
0.188,-0.355,0.986,3.723,218.201,48.584
0.179,-0.333,0.936,6.104,219.482,52.551
0.173,-0.351,0.856,11.414,219.788,54.932
0.177,-0.377,0.784,15.442,218.567,56.824
0.173,-0.382,0.788,16.418,215.027,59.875
0.162,-0.360,0.777,17.761,210.266,64.392
